term,variable,clase_origen,ola_origen,periodo,clase_destino,comparacion,coeficiente,se,z,p_value,or,or_ic_lower,or_ic_upper,significativo,signo
edad^4,Edad,4,2023,2023_?,3,Clase 3 vs Clase 1,1.4505,0.5387,2.6925,0.0071,4.2651,1.4838,12.2598,TRUE,positivo
edad^4,Edad,4,2023,2023_?,4,Clase 4 vs Clase 1,1.6676,0.5871,2.8403,0.0045,5.2994,1.6767,16.7489,TRUE,positivo
edad^5,Edad,4,2023,2023_?,2,Clase 2 vs Clase 1,-0.8321,0.4755,-1.7497,0.0802,0.4351,0.1713,1.1052,FALSE,negativo
edad^5,Edad,4,2023,2023_?,3,Clase 3 vs Clase 1,-0.7373,0.4927,-1.4964,0.1345,0.4784,0.1821,1.2566,FALSE,negativo
edad^5,Edad,4,2023,2023_?,4,Clase 4 vs Clase 1,-0.0596,0.523,-0.114,0.9093,0.9421,0.338,2.6261,FALSE,negativo
d1_1,Percepción de conflicto,4,2023,2023_?,2,Clase 2 vs Clase 1,-0.5892,0.2389,-2.4666,0.0136,0.5547,0.3473,0.886,TRUE,negativo
d1_1,Percepción de conflicto,4,2023,2023_?,3,Clase 3 vs Clase 1,-0.4859,0.2526,-1.9233,0.0544,0.6152,0.3749,1.0093,FALSE,negativo
d1_1,Percepción de conflicto,4,2023,2023_?,4,Clase 4 vs Clase 1,-0.018,0.303,-0.0595,0.9526,0.9821,0.5423,1.7788,FALSE,negativo
c5,Confianza en pueblos originarios,4,2023,2023_?,2,Clase 2 vs Clase 1,0.2058,0.2401,0.8573,0.3913,1.2285,0.7674,1.9666,FALSE,positivo
c5,Confianza en pueblos originarios,4,2023,2023_?,3,Clase 3 vs Clase 1,-0.1269,0.2574,-0.493,0.622,0.8808,0.5319,1.4588,FALSE,negativo
c5,Confianza en pueblos originarios,4,2023,2023_?,4,Clase 4 vs Clase 1,0.2535,0.2725,0.9303,0.3522,1.2886,0.7553,2.1984,FALSE,positivo
d5_1,Justicia procedimental,4,2023,2023_?,2,Clase 2 vs Clase 1,-0.6255,0.1867,-3.3502,8e-4,0.535,0.371,0.7714,TRUE,negativo
d5_1,Justicia procedimental,4,2023,2023_?,3,Clase 3 vs Clase 1,-0.0326,0.1874,-0.1737,0.8621,0.968,0.6704,1.3977,FALSE,negativo
d5_1,Justicia procedimental,4,2023,2023_?,4,Clase 4 vs Clase 1,-1.1034,0.2327,-4.7408,0,0.3318,0.2102,0.5235,TRUE,negativo
d6_1,Identificación con la causa,4,2023,2023_?,2,Clase 2 vs Clase 1,-0.0678,0.2048,-0.3308,0.7408,0.9345,0.6255,1.3962,FALSE,negativo
d6_1,Identificación con la causa,4,2023,2023_?,3,Clase 3 vs Clase 1,-0.4516,0.1978,-2.2837,0.0224,0.6366,0.432,0.938,TRUE,negativo
