folio,ola,urbano_rural,mujer,indi,edad,d1_1,c5,d5_1,d6_1,c13,d3_1_red,d3_2_red,d4_2_red,d4_3_red,time4
110702006,2,1,Mujer,indi,45_54,5,5,1,4,3,1,1,1,1,2
110702006,3,1,Mujer,indi,45_54,5,3,2,4,3,2,2,2,2,3
110702006,4,1,Mujer,indi,55_64,5,3,2,4,3,2,2,2,2,4
110702103,1,1,Mujer,indi,25_34,4,3,4,1,3,1,1,1,1,1
110702103,2,1,Mujer,indi,25_34,5,5,1,4,3,1,1,1,1,2
110702103,3,1,Mujer,indi,25_34,5,3,4,3,2,1,1,1,1,3
110702103,4,1,Mujer,indi,25_34,5,3,4,3,2,1,1,1,1,4
110702104,1,1,Mujer,no_indi,45_54,1,4,4,4,3,1,1,1,1,1
110702104,2,1,Mujer,no_indi,45_54,4,4,1,2,3,1,1,1,1,2
110702104,3,1,Mujer,no_indi,55_64,4,3,1,5,3,1,1,2,1,3
110702104,4,1,Mujer,no_indi,55_64,3,3,4,3,4,2,2,2,2,4
110702105,1,1,Mujer,no_indi,18_24,3,1,4,1,3,2,2,2,2,1
110702105,2,1,Mujer,no_indi,18_24,4,4,1,3,2,1,1,1,1,2
110702105,3,1,Mujer,indi,25_34,5,2,2,4,5,1,1,2,2,3
110702105,4,1,Mujer,no_indi,25_34,2,4,4,4,3,1,1,1,1,4
110702201,1,1,Mujer,indi,35_44,3,5,3,4,3,2,2,2,2,1
110702201,2,1,Mujer,no_indi,35_44,4,4,3,2,3,1,1,1,1,2
110702201,3,1,Mujer,no_indi,35_44,5,4,2,1,1,1,1,1,1,3
110702201,4,1,Mujer,no_indi,35_44,4,4,2,1,1,1,1,1,1,4
110702304,1,1,Mujer,indi,35_44,4,4,2,3,3,2,2,2,2,1
110702304,2,1,Mujer,indi,35_44,4,5,3,5,3,1,1,1,1,2
110702304,3,1,Mujer,indi,35_44,5,5,3,4,5,1,1,2,1,3
110702304,4,1,Mujer,indi,35_44,4,5,3,4,4,1,1,1,1,4
110702402,1,1,Mujer,indi,35_44,4,4,2,5,5,1,1,2,1,1
110702402,2,1,Mujer,indi,35_44,3,5,3,4,4,1,1,2,2,2
110702402,3,1,Mujer,indi,35_44,5,3,2,4,3,2,2,2,2,3
110702402,4,1,Mujer,no_indi,45_54,3,3,2,3,1,1,1,2,2,4
110702502,1,1,Mujer,indi,45_54,4,5,2,5,5,1,1,2,2,1
110702502,2,1,Mujer,indi,45_54,4,4,2,5,4,1,1,2,2,2
110702502,3,1,Mujer,indi,55_64,5,5,2,5,4,1,1,2,2,3
110702502,4,1,Mujer,indi,55_64,1,4,4,4,2,1,1,1,1,4
110702507,1,1,Mujer,indi,45_54,4,3,2,5,5,1,1,1,2,1
110702507,2,1,Mujer,indi,45_54,5,4,4,4,4,2,1,2,2,2
110702507,3,1,Mujer,indi,45_54,4,4,2,4,1,1,1,1,1,3
110702507,4,1,Mujer,no_indi,45_54,5,4,3,4,4,1,1,2,2,4
110702601,1,1,Mujer,indi,65+,4,4,2,4,5,1,1,1,1,1
110702601,2,1,Mujer,indi,65+,5,4,2,4,4,1,1,1,1,2
110702601,3,1,Mujer,indi,65+,5,5,2,5,4,2,2,1,2,3
110702601,4,1,Mujer,indi,65+,5,5,2,5,3,2,2,1,2,4
110702602,1,1,Mujer,indi,45_54,4,4,2,5,5,2,1,1,1,1
110702602,2,1,Mujer,indi,45_54,5,5,2,5,3,1,1,2,1,2
110702602,3,1,Mujer,indi,55_64,4,3,2,4,2,1,1,2,1,3
110702602,4,1,Mujer,indi,55_64,3,3,1,3,2,1,1,1,1,4
110702604,1,1,Mujer,no_indi,35_44,5,4,2,5,5,1,1,2,1,1
110702604,2,1,Mujer,indi,45_54,4,4,1,4,2,1,1,2,1,2
110702604,3,1,Mujer,indi,45_54,5,5,1,5,2,1,1,2,2,3
110702604,4,1,Mujer,indi,45_54,3,4,4,3,3,2,2,2,2,4
110702609,1,1,Mujer,no_indi,25_34,3,1,1,2,2,2,1,2,1,1
110702609,2,1,Mujer,no_indi,25_34,3,2,2,3,2,2,1,1,1,2
110702609,3,1,Mujer,no_indi,25_34,4,3,2,2,3,1,1,2,1,3
110702609,4,1,Mujer,indi,25_34,4,5,4,4,1,2,2,2,2,4
110702701,1,1,Mujer,indi,45_54,5,4,2,4,1,1,1,1,1,1
110702701,2,1,Mujer,indi,45_54,4,2,2,4,4,1,1,2,1,2
110702701,3,1,Mujer,indi,45_54,5,5,2,4,5,1,1,1,2,3
110702701,4,1,Mujer,indi,55_64,4,4,5,4,3,2,1,1,1,4
110702703,1,1,Hombre,indi,45_54,3,4,2,4,5,1,1,2,2,1
110702703,2,1,Hombre,indi,45_54,3,4,4,4,3,1,1,1,1,2
110702703,3,1,Hombre,indi,45_54,4,4,4,4,3,1,1,1,1,3
110702703,4,1,Hombre,indi,45_54,3,4,4,4,3,2,2,2,2,4
110702705,1,1,Mujer,no_indi,35_44,4,4,3,3,3,2,2,1,1,1
110702705,2,1,Mujer,no_indi,45_54,4,3,4,3,3,2,2,1,1,2
110702705,3,1,Mujer,no_indi,45_54,3,4,2,3,3,1,1,1,1,3
110702705,4,1,Mujer,no_indi,45_54,3,3,4,4,1,2,2,1,1,4
110702801,1,1,Mujer,indi,45_54,4,5,2,4,5,1,1,2,1,1
110702801,2,1,Mujer,indi,45_54,4,3,2,4,5,1,1,1,1,2
110702801,3,1,Mujer,indi,45_54,5,2,2,4,5,2,2,1,1,3
110702801,4,1,Mujer,no_indi,45_54,3,3,3,3,3,2,2,2,2,4
110702807,1,1,Mujer,no_indi,65+,3,4,3,3,3,1,1,1,1,1
110702807,2,1,Mujer,no_indi,65+,3,4,2,3,4,1,1,2,1,2
110702807,3,1,Mujer,no_indi,65+,4,4,2,5,2,1,1,2,1,3
110702807,4,1,Mujer,no_indi,65+,4,4,2,5,2,1,1,2,1,4
110702808,1,1,Hombre,indi,45_54,4,4,1,5,2,1,1,2,2,1
110702808,2,1,Hombre,indi,45_54,4,4,3,4,2,1,1,2,2,2
110702808,3,1,Hombre,indi,45_54,4,3,2,4,2,1,1,1,1,3
110702808,4,1,Hombre,indi,55_64,3,3,3,5,2,2,2,2,2,4
110702903,1,1,Hombre,indi,35_44,4,4,4,4,3,2,1,2,2,1
110702903,2,1,Hombre,indi,45_54,3,4,4,4,3,2,2,2,1,2
110702903,3,1,Hombre,indi,45_54,5,4,2,4,4,1,1,2,2,3
110702903,4,1,Hombre,indi,45_54,2,3,2,3,2,1,1,1,1,4
110702907,1,1,Mujer,no_indi,35_44,4,3,3,4,4,2,1,1,2,1
110702907,2,1,Mujer,no_indi,35_44,3,3,3,2,3,2,1,2,1,2
110702907,3,1,Mujer,no_indi,45_54,5,3,3,3,3,2,1,1,2,3
110702907,4,1,Mujer,no_indi,45_54,3,3,4,4,2,2,2,2,2,4
110702908,1,1,Mujer,indi,45_54,5,5,1,5,5,1,1,2,2,1
110702908,2,1,Mujer,indi,55_64,4,4,4,5,4,1,1,2,2,2
110702908,3,1,Mujer,indi,55_64,3,5,2,4,1,2,1,2,1,3
110702908,4,1,Mujer,no_indi,55_64,3,3,4,4,3,2,2,2,2,4
110703106,1,1,Mujer,no_indi,25_34,5,3,3,5,3,1,1,2,2,1
110703106,2,1,Mujer,no_indi,25_34,4,4,1,3,3,1,1,1,1,2
110703106,3,1,Mujer,indi,25_34,3,5,5,5,2,1,1,2,2,3
110703106,4,1,Mujer,indi,25_34,3,4,4,3,4,2,2,1,1,4
110703108,1,1,Mujer,indi,45_54,4,5,2,5,3,1,1,2,2,1
110703108,2,1,Mujer,indi,45_54,4,3,3,4,2,2,2,2,1,2
110703108,3,1,Mujer,indi,55_64,4,4,2,4,4,1,1,1,1,3
110703108,4,1,Mujer,indi,55_64,4,4,2,4,4,1,1,1,1,4
110703109,1,1,Mujer,no_indi,45_54,5,4,2,4,5,2,1,1,2,1
110703109,2,1,Mujer,no_indi,55_64,4,5,2,4,3,2,2,1,1,2
110703109,3,1,Mujer,no_indi,55_64,5,2,2,4,5,1,2,2,1,3
110703109,4,1,Mujer,no_indi,55_64,5,2,2,4,5,1,2,2,1,4
110703110,1,1,Mujer,no_indi,18_24,4,3,3,3,3,2,1,2,2,1
